NewAuthorId	issn	Year	Count
22620	1744117X	2006	1
81517	1744117X	2007	1
173499	1744117X	2006	1
177751	1744117X	2010	1
211462	1744117X	2009	1
211462	1744117X	2011	1
255596	1744117X	2011	1
278832	1744117X	2013	1
284546	1744117X	2019	1
291981	1744117X	2010	1
352994	1744117X	2014	1
390589	1744117X	2012	1
390589	1744117X	2019	1
417376	1744117X	2014	1
431935	1744117X	2008	1
448407	1744117X	2013	1
681444	1744117X	2009	1
738542	1744117X	2011	1
1085176	1744117X	2012	1
1327717	1744117X	2012	1
1551468	1744117X	2007	1
1617638	1744117X	2013	1
1659619	1744117X	2013	1
2084842	1744117X	2008	1
2118410	1744117X	2007	1
2437709	1744117X	2017	1
3229964	1744117X	2010	1
3229964	1744117X	2011	1
3229964	1744117X	2012	1
3459624	1744117X	2006	1
3459624	1744117X	2008	1
3459624	1744117X	2015	1
3459624	1744117X	2016	2
3599346	1744117X	2013	1
3863090	1744117X	2012	1
3935872	1744117X	2016	1
4030449	1744117X	2013	1
4116381	1744117X	2009	1
4116381	1744117X	2016	2
4116381	1744117X	2017	1
4116381	1744117X	2018	1
4420893	1744117X	2016	1
4497765	1744117X	2010	1
5357033	1744117X	2017	1
5945237	1744117X	2017	1
5964370	1744117X	2008	1
6099984	1744117X	2007	1
6217607	1744117X	2008	1
6314493	1744117X	2017	1
6331196	1744117X	2014	1
6337327	1744117X	2012	1
6358653	1744117X	2008	1
6378949	1744117X	2006	1
6408650	1744117X	2017	1
6645430	1744117X	2016	1
6651919	1744117X	2006	1
6768465	1744117X	2008	1
6768465	1744117X	2009	1
6817142	1744117X	2007	1
6961360	1744117X	2006	1
6961360	1744117X	2007	2
6961360	1744117X	2008	1
6961360	1744117X	2011	1
6961360	1744117X	2012	1
7000198	1744117X	2006	1
7000198	1744117X	2007	1
7096602	1744117X	2014	1
7299407	1744117X	2011	1
7327681	1744117X	2010	1
7345582	1744117X	2010	1
7373645	1744117X	2016	1
7452580	1744117X	2009	1
7530026	1744117X	2014	1
7596218	1744117X	2008	1
7596218	1744117X	2013	1
7623237	1744117X	2014	1
7631765	1744117X	2018	1
7644900	1744117X	2009	1
7784353	1744117X	2006	1
7835004	1744117X	2016	1
7904571	1744117X	2009	1
7939567	1744117X	2010	1
7952217	1744117X	2019	1
7988380	1744117X	2016	1
7996040	1744117X	2008	1
8068014	1744117X	2019	1
8073940	1744117X	2006	1
8128450	1744117X	2014	1
8184199	1744117X	2006	1
8218264	1744117X	2008	1
8350752	1744117X	2009	1
8401473	1744117X	2013	1
8401473	1744117X	2016	1
8452044	1744117X	2010	2
8556105	1744117X	2006	1
8576978	1744117X	2011	2
8587391	1744117X	2009	1
8587391	1744117X	2011	1
8607634	1744117X	2007	1
8667977	1744117X	2012	1
8719869	1744117X	2015	1
8750631	1744117X	2015	1
8756080	1744117X	2007	1
8765829	1744117X	2008	1
8765829	1744117X	2012	1
8782822	1744117X	2011	1
8817252	1744117X	2011	1
8945570	1744117X	2009	1
8945570	1744117X	2015	1
9350566	1744117X	2011	1
9418975	1744117X	2016	1
9418975	1744117X	2019	1
9608214	1744117X	2017	1
9608214	1744117X	2018	1
9623367	1744117X	2010	1
9636095	1744117X	2008	1
9669266	1744117X	2016	1
9673216	1744117X	2008	1
9675535	1744117X	2011	2
9715921	1744117X	2007	1
9737156	1744117X	2007	1
9743822	1744117X	2009	1
9743822	1744117X	2019	1
9772429	1744117X	2010	1
9792851	1744117X	2006	1
9850313	1744117X	2006	1
9916476	1744117X	2011	1
10058014	1744117X	2019	2
10221022	1744117X	2010	1
10236100	1744117X	2013	1
10302238	1744117X	2010	1
10439133	1744117X	2017	1
10462069	1744117X	2007	1
10496703	1744117X	2006	1
10506965	1744117X	2007	1
10757334	1744117X	2009	1
10900190	1744117X	2008	1
10958105	1744117X	2013	1
11038663	1744117X	2007	1
11038663	1744117X	2011	1
11038663	1744117X	2013	1
11038663	1744117X	2014	3
11038663	1744117X	2016	1
11038663	1744117X	2018	1
11038663	1744117X	2019	1
11180036	1744117X	2008	1
11336257	1744117X	2013	1
11363342	1744117X	2017	1
11379567	1744117X	2007	1
11388426	1744117X	2012	1
11461161	1744117X	2008	1
11497528	1744117X	2007	1
11559681	1744117X	2019	1
11693110	1744117X	2013	1
11693110	1744117X	2016	1
11708602	1744117X	2018	1
11749934	1744117X	2016	1
11764257	1744117X	2017	1
11817185	1744117X	2007	1
11819788	1744117X	2010	1
11961459	1744117X	2010	1
11983705	1744117X	2006	1
12106937	1744117X	2012	1
12118532	1744117X	2016	1
12156991	1744117X	2013	1
12162563	1744117X	2011	1
12166966	1744117X	2015	1
12166966	1744117X	2017	1
12182656	1744117X	2013	1
12226564	1744117X	2015	1
12385375	1744117X	2013	1
12387165	1744117X	2006	1
12393680	1744117X	2019	2
12431461	1744117X	2011	1
12470980	1744117X	2008	1
12478494	1744117X	2017	1
12478494	1744117X	2018	1
12536522	1744117X	2007	1
12667458	1744117X	2019	1
12712431	1744117X	2017	1
12722738	1744117X	2009	1
12722738	1744117X	2019	1
12734573	1744117X	2010	1
12952715	1744117X	2017	1
12953414	1744117X	2011	1
12953414	1744117X	2012	2
13354266	1744117X	2006	1
13395270	1744117X	2007	1
13488287	1744117X	2013	1
13576665	1744117X	2011	1
13580038	1744117X	2008	1
13583177	1744117X	2012	1
13641447	1744117X	2015	1
13641447	1744117X	2019	1
13736455	1744117X	2010	1
13736455	1744117X	2012	1
13799068	1744117X	2010	1
13816186	1744117X	2007	1
13872152	1744117X	2018	1
13935239	1744117X	2008	1
14312501	1744117X	2016	1
14397690	1744117X	2007	1
14454733	1744117X	2011	1
14454733	1744117X	2012	3
14454733	1744117X	2013	2
14454733	1744117X	2014	1
14454733	1744117X	2019	1
14585000	1744117X	2017	1
14625799	1744117X	2017	1
14668421	1744117X	2014	1
14713940	1744117X	2012	1
14798180	1744117X	2019	1
14974700	1744117X	2009	1
14974700	1744117X	2010	1
15055512	1744117X	2010	1
15057698	1744117X	2014	1
15086183	1744117X	2006	1
15174781	1744117X	2009	1
15174781	1744117X	2011	1
15389067	1744117X	2011	1
15501581	1744117X	2006	1
15641077	1744117X	2012	1
15650878	1744117X	2018	1
15747194	1744117X	2006	1
15754779	1744117X	2011	1
15755453	1744117X	2010	1
15839927	1744117X	2016	1
15864679	1744117X	2010	2
15864679	1744117X	2018	1
15928687	1744117X	2012	1
16010348	1744117X	2008	1
16568840	1744117X	2017	1
16605109	1744117X	2011	1
16625401	1744117X	2007	1
16636931	1744117X	2009	1
16745482	1744117X	2007	1
16783421	1744117X	2010	1
17036197	1744117X	2011	1
17072189	1744117X	2010	2
17072189	1744117X	2018	1
17122883	1744117X	2019	2
17125248	1744117X	2017	1
17274590	1744117X	2006	1
17274590	1744117X	2008	1
17337214	1744117X	2016	1
17337214	1744117X	2018	1
17655255	1744117X	2019	1
17707258	1744117X	2012	1
17707258	1744117X	2019	1
17758827	1744117X	2017	1
17817443	1744117X	2013	1
17842917	1744117X	2011	1
17925808	1744117X	2011	1
18021617	1744117X	2019	1
18023229	1744117X	2010	1
18136836	1744117X	2006	1
18259103	1744117X	2010	1
18259103	1744117X	2018	1
18338808	1744117X	2006	1
18354985	1744117X	2007	1
18396646	1744117X	2013	1
18528772	1744117X	2008	1
18528772	1744117X	2013	1
18547372	1744117X	2012	1
18547372	1744117X	2013	1
18695230	1744117X	2007	1
18697753	1744117X	2011	1
18731089	1744117X	2014	1
18870822	1744117X	2018	1
19017059	1744117X	2008	1
19067752	1744117X	2013	1
19067752	1744117X	2016	1
19067752	1744117X	2017	1
19279324	1744117X	2013	1
19295254	1744117X	2011	1
19372857	1744117X	2015	1
19431225	1744117X	2015	1
19549640	1744117X	2009	1
19566373	1744117X	2006	1
19688965	1744117X	2011	1
19754741	1744117X	2009	1
19780113	1744117X	2011	1
19918299	1744117X	2013	1
19923414	1744117X	2019	1
19931396	1744117X	2011	1
20423700	1744117X	2006	1
20524674	1744117X	2017	1
20530887	1744117X	2007	1
20556511	1744117X	2011	1
20593429	1744117X	2006	1
20724665	1744117X	2014	1
20766899	1744117X	2012	1
21030506	1744117X	2010	1
21081197	1744117X	2011	1
21093916	1744117X	2008	1
21214057	1744117X	2006	1
21214057	1744117X	2011	3
21253057	1744117X	2006	1
21335212	1744117X	2014	2
21335212	1744117X	2016	1
21335212	1744117X	2019	1
21342717	1744117X	2017	1
21356684	1744117X	2018	1
21647262	1744117X	2008	1
21647262	1744117X	2010	1
21734604	1744117X	2009	1
21794240	1744117X	2006	1
21902603	1744117X	2007	1
22040468	1744117X	2007	1
22275708	1744117X	2015	1
22445718	1744117X	2009	1
22496056	1744117X	2011	1
22496056	1744117X	2012	1
22559081	1744117X	2017	1
22559081	1744117X	2018	1
22588259	1744117X	2011	1
22613568	1744117X	2017	1
22723465	1744117X	2009	1
22728914	1744117X	2006	1
22808309	1744117X	2013	2
22808309	1744117X	2016	5
22808309	1744117X	2017	1
22810049	1744117X	2013	1
22810049	1744117X	2016	1
22846661	1744117X	2013	1
22846661	1744117X	2019	1
22856436	1744117X	2019	2
23024280	1744117X	2013	1
23038148	1744117X	2014	1
23038148	1744117X	2015	1
23040197	1744117X	2007	1
23046221	1744117X	2013	1
23046221	1744117X	2015	1
23046221	1744117X	2019	1
23088426	1744117X	2007	1
23092119	1744117X	2006	1
23190109	1744117X	2006	1
23234188	1744117X	2009	1
23234188	1744117X	2010	1
23475695	1744117X	2017	1
23845743	1744117X	2015	1
24021540	1744117X	2012	1
24757374	1744117X	2017	1
25071459	1744117X	2006	1
25223206	1744117X	2006	1
25295668	1744117X	2010	1
25297287	1744117X	2009	1
25297287	1744117X	2011	1
25475715	1744117X	2010	1
25667798	1744117X	2015	1
25904223	1744117X	2006	1
26203945	1744117X	2006	1
26247209	1744117X	2017	1
26429703	1744117X	2019	2
26861329	1744117X	2010	1
27011144	1744117X	2009	1
27091520	1744117X	2013	1
27680455	1744117X	2008	1
27680455	1744117X	2016	1
27787985	1744117X	2015	1
27946648	1744117X	2009	1
29043638	1744117X	2012	1
29369375	1744117X	2011	1
29435853	1744117X	2006	1
29435853	1744117X	2011	1
29950313	1744117X	2007	1
31767986	1744117X	2013	1
31846256	1744117X	2018	1
31941795	1744117X	2011	1
32105562	1744117X	2011	1
32797576	1744117X	2013	1
33418458	1744117X	2007	1
34067838	1744117X	2016	1
34813649	1744117X	2018	1
35201952	1744117X	2019	1
35567171	1744117X	2013	1
35607765	1744117X	2008	1
35886776	1744117X	2011	1
36268068	1744117X	2006	2
36268068	1744117X	2013	1
36354167	1744117X	2006	1
36407962	1744117X	2008	1
36549509	1744117X	2016	1
36662203	1744117X	2018	1
36785382	1744117X	2013	1
36923499	1744117X	2011	1
36923499	1744117X	2016	2
36923499	1744117X	2017	4
36923499	1744117X	2018	2
36923499	1744117X	2019	2
37118833	1744117X	2019	2
37234149	1744117X	2006	4
37234149	1744117X	2011	1
37234149	1744117X	2017	1
37322576	1744117X	2013	1
37389443	1744117X	2016	1
37565061	1744117X	2016	1
39091304	1744117X	2008	1
39372093	1744117X	2006	1
39765941	1744117X	2013	1
40159419	1744117X	2012	1
41432953	1744117X	2014	1
42182406	1744117X	2009	1
46108427	1744117X	2013	1
49299118	1744117X	2018	1
50396081	1744117X	2016	1
50504973	1744117X	2008	1
50859508	1744117X	2019	1
51193392	1744117X	2018	1
52191527	1744117X	2016	1
52513200	1744117X	2011	1
52712250	1744117X	2014	1
52712250	1744117X	2015	1
53111441	1744117X	2014	1
53147857	1744117X	2012	1
53205195	1744117X	2019	1
53931865	1744117X	2006	1
54134139	1744117X	2010	1
54341407	1744117X	2009	1
54689817	1744117X	2016	1
55116070	1744117X	2006	1
55528817	1744117X	2010	1
56088364	1744117X	2006	1
56088364	1744117X	2007	2
56177157	1744117X	2006	1
56301711	1744117X	2011	1
56388116	1744117X	2009	1
56857636	1744117X	2010	1
57961638	1744117X	2007	1
59863531	1744117X	2006	1
60864121	1744117X	2009	1
61874544	1744117X	2006	1
62505736	1744117X	2006	1
62576128	1744117X	2008	1
62637026	1744117X	2011	1
65209944	1744117X	2012	1
67160088	1744117X	2015	1
67668530	1744117X	2006	1
67668530	1744117X	2008	1
67668530	1744117X	2009	1
67668530	1744117X	2010	2
67668530	1744117X	2011	1
67668530	1744117X	2013	1
68773771	1744117X	2015	1
70292094	1744117X	2018	3
70292094	1744117X	2019	4
70794024	1744117X	2007	1
71045812	1744117X	2006	1
71392747	1744117X	2009	1
72196531	1744117X	2012	1
74587059	1744117X	2008	1
74587059	1744117X	2009	2
74587059	1744117X	2010	1
74587059	1744117X	2012	2
74587059	1744117X	2014	1
78274275	1744117X	2006	1
78781982	1744117X	2010	1
78847296	1744117X	2007	1
78847296	1744117X	2008	1
78847296	1744117X	2010	1
78847296	1744117X	2011	1
79449342	1744117X	2007	1
79489275	1744117X	2013	1
79591448	1744117X	2006	1
79591448	1744117X	2011	1
79591448	1744117X	2017	1
80773487	1744117X	2014	1
81081782	1744117X	2006	1
81081782	1744117X	2013	1
81853392	1744117X	2007	1
81853392	1744117X	2016	1
81853392	1744117X	2018	1
81853392	1744117X	2019	1
82213869	1744117X	2008	1
82453061	1744117X	2007	1
82503603	1744117X	2016	1
82835519	1744117X	2010	1
82835519	1744117X	2013	1
83137385	1744117X	2011	1
83137385	1744117X	2013	2
83137385	1744117X	2014	1
83137385	1744117X	2016	1
83475016	1744117X	2012	1
83475016	1744117X	2014	1
83799187	1744117X	2008	1
83832267	1744117X	2007	1
84504807	1744117X	2006	1
84504807	1744117X	2007	1
84504807	1744117X	2009	1
84504807	1744117X	2010	1
84504807	1744117X	2013	1
84861807	1744117X	2009	1
84861807	1744117X	2010	1
84861807	1744117X	2011	1
84861807	1744117X	2012	2
84861807	1744117X	2019	1
84896089	1744117X	2011	1
86143066	1744117X	2014	1
86143066	1744117X	2016	1
86143066	1744117X	2019	1
86372273	1744117X	2007	1
86372273	1744117X	2011	1
86372273	1744117X	2012	1
86372273	1744117X	2013	2
86372273	1744117X	2014	3
86372273	1744117X	2016	1
86372273	1744117X	2018	1
86372273	1744117X	2019	1
86773450	1744117X	2013	1
86840253	1744117X	2007	1
87379564	1744117X	2017	1
88712230	1744117X	2015	1
90183038	1744117X	2007	1
90605966	1744117X	2015	1
90653172	1744117X	2011	1
91046235	1744117X	2009	1
91046235	1744117X	2010	1
92089987	1744117X	2015	1
93121530	1744117X	2011	1
93292315	1744117X	2010	1
93693066	1744117X	2011	1
93693066	1744117X	2015	1
95019711	1744117X	2017	1
95364721	1744117X	2007	1
95474350	1744117X	2006	1
95553436	1744117X	2006	1
95845878	1744117X	2019	1
96030211	1744117X	2008	1
97114152	1744117X	2009	1
98346027	1744117X	2006	2
98346027	1744117X	2013	1
98802644	1744117X	2006	2
98802644	1744117X	2008	1
98802644	1744117X	2011	1
99259826	1744117X	2006	1
99259826	1744117X	2011	1
99378713	1744117X	2018	1
101114734	1744117X	2006	1
101424531	1744117X	2013	1
102513903	1744117X	2009	1
102678908	1744117X	2012	1
102972219	1744117X	2012	1
103662987	1744117X	2010	1
104088109	1744117X	2006	1
104372386	1744117X	2007	1
104680388	1744117X	2011	1
106009688	1744117X	2011	1
106120251	1744117X	2011	1
106120251	1744117X	2016	1
107261379	1744117X	2008	1
107371047	1744117X	2006	1
107552310	1744117X	2012	1
107559970	1744117X	2011	1
107831683	1744117X	2011	1
107902922	1744117X	2008	1
107940444	1744117X	2008	1
108057417	1744117X	2008	1
108057417	1744117X	2009	2
108057417	1744117X	2010	1
108057417	1744117X	2012	2
108328438	1744117X	2008	1
108328438	1744117X	2009	3
108328438	1744117X	2010	2
108328438	1744117X	2011	1
108581685	1744117X	2007	1
109562614	1744117X	2019	1
109650673	1744117X	2011	1
109650673	1744117X	2014	1
109650673	1744117X	2017	4
109650673	1744117X	2018	2
109650673	1744117X	2019	1
109736803	1744117X	2018	1
111120717	1744117X	2011	1
111177757	1744117X	2006	1
111707166	1744117X	2008	1
111707166	1744117X	2011	2
111707166	1744117X	2013	1
111707166	1744117X	2016	1
112320491	1744117X	2013	1
115008826	1744117X	2019	1
115909490	1744117X	2016	1
115954176	1744117X	2007	1
116051291	1744117X	2010	1
116789983	1744117X	2010	1
117120938	1744117X	2007	1
118109564	1744117X	2007	1
118181274	1744117X	2015	1
119200537	1744117X	2007	1
120189907	1744117X	2012	1
120189907	1744117X	2015	1
120189907	1744117X	2018	1
120818364	1744117X	2007	1
122522692	1744117X	2012	1
125391961	1744117X	2019	1
125458000	1744117X	2008	1
125458000	1744117X	2011	1
125458000	1744117X	2012	1
125458000	1744117X	2016	1
125836887	1744117X	2011	1
127520304	1744117X	2018	1
128539999	1744117X	2010	1
130363774	1744117X	2018	2
130363774	1744117X	2019	1
139708479	1744117X	2012	1
142640907	1744117X	2012	1
143380281	1744117X	2007	1
143505235	1744117X	2006	1
145676552	1744117X	2019	1
147185610	1744117X	2007	1
147185610	1744117X	2008	1
147447514	1744117X	2010	1
147638552	1744117X	2013	1
147638552	1744117X	2019	3
147675621	1744117X	2006	1
147891924	1744117X	2011	1
149155736	1744117X	2018	1
151261145	1744117X	2017	1
151261145	1744117X	2019	1
151703221	1744117X	2017	1
151767997	1744117X	2018	1
151858378	1744117X	2017	1
151935472	1744117X	2011	1
152420166	1744117X	2013	1
152444590	1744117X	2017	1
152446471	1744117X	2007	1
155132507	1744117X	2014	1
155301432	1744117X	2016	1
155304335	1744117X	2007	1
156778399	1744117X	2006	1
157350396	1744117X	2010	3
157350396	1744117X	2018	1
157380294	1744117X	2007	1
157388710	1744117X	2016	1
157588726	1744117X	2015	1
157588726	1744117X	2019	1
157944376	1744117X	2013	1
158343818	1744117X	2015	1
158808814	1744117X	2012	1
159008101	1744117X	2010	1
159215064	1744117X	2014	1
159215064	1744117X	2016	3
159215064	1744117X	2019	2
159391690	1744117X	2014	1
159391690	1744117X	2015	1
160037217	1744117X	2011	1
160037217	1744117X	2015	2
160154426	1744117X	2013	1
160264200	1744117X	2017	1
168177475	1744117X	2012	1
168177475	1744117X	2017	1
168177475	1744117X	2018	1
181763124	1744117X	2018	1
196818955	1744117X	2017	1
196955232	1744117X	2009	1
196955232	1744117X	2019	1
197951114	1744117X	2013	1
198987747	1744117X	2012	1
198987747	1744117X	2013	1
199248000	1744117X	2016	1
199823932	1744117X	2007	1
199941321	1744117X	2007	1
201266361	1744117X	2013	1
202869569	1744117X	2017	1
202869569	1744117X	2018	1
203537910	1744117X	2018	1
204920256	1744117X	2015	2
205049350	1744117X	2015	1
205583185	1744117X	2017	1
205930055	1744117X	2009	1
210185151	1744117X	2006	1
212697764	1744117X	2006	1
212697764	1744117X	2007	1
212697764	1744117X	2010	1
213193249	1744117X	2016	1
213382380	1744117X	2011	1
213457075	1744117X	2017	1
213656093	1744117X	2007	1
214682524	1744117X	2015	1
214700447	1744117X	2007	1
214700447	1744117X	2016	3
214800484	1744117X	2016	1
215039519	1744117X	2017	1
215039519	1744117X	2018	1
215039519	1744117X	2019	2
